"My 468th Birthday Party","(Self-Portrait) // Skeleton Crew X Wildfire Native10",10,"https://www.arweave.net/4v-c1C_KELL7Ga5_Gce6Q8y_QmEFnJFqLONNTszOtiA?ext=png","ParamsNFT",,,
"The Golden Death and it's Allies","After seeing what humanity has done to planet earth, the Furious Flowers have proven themselves to be Death's most valuable ally... 5000 Furious Flowers, who are fed up with humanity, are about to take back planet earth and nobody can stop them!",10,"https://www.arweave.net/002iWV3HScWSYlcmNhDDDf26ds7yqVzxuOT_RiAUT3o?ext=png","Furious Flowers",10,"AoN5WoSMuZaepjTKe5doeH39TpJgFR12csYHB8JzV36e",227
"Death's Little Helpers","After seeing what humanity has done to planet earth, the Furious Flowers have proven themselves to be Death's most valuable ally... 5000 Furious Flowers are about to take over the world and nobody can stop them!",100,"https://www.arweave.net/YO8GfvM7J2CvuhGjBMJpPyVwMlN5XL3TK-TPFZUlOWE?ext=png","Furious Flowers",0.4,"vWrFdGXYXb4byzkcxNtY8C6dtcXUzpUPpYnTpUPZvK8",256
"My 478th Birthday Party","(Self-Portrait) // Skeleton Crew X Wildfire Native10",10,"https://www.arweave.net/y-kqvId-yAMN3xmiSeIia-er9HOTvP5ofs6WDWEtbEQ?ext=png","ParamsNFT",4,"C9XpKhRB9LRMYctN9brXfgJo79Ny5zw63aBEtyb3RNsH",713
"Party Pixels","Double the pixels, double the fun— this SKULL mashes up a stereoscopic effect with some bitmap art. Don't stare too long at it...",666,"https://www.arweave.net/ywh7k6WcjECRDPqF26V4YryVAY4lOjhkQtJmAPNXtX0?ext=png","Ayyo",0.07,"4DzYcZ3ypoT9eVewGcAgYoNombPZur4iPnie6wZ9uwKs",10
"Autonomous Spook Shop #1","Notes from the Artist: ""The Autonomous Scoop Shop is a collection of 4,848 cool and delicious treats, staying frosty on the Solana blockchain. You can find us at scoopshop.io.""",300,"https://www.arweave.net/bJPGfg6cTlqBYJsGfiCS6rTNHpH5kzdd_tfe-ZA_0LU?ext=png","The Autonomous Scoop Shop",0.031,"BUgAnZ4FuRWQsnE9FNcHXndsP34sBRYW7CgLeNZe98pd",16
"Basel by Moatze","Abstract Surrealist Black and Gold drawn on black canvas with ink and graphite",50,"https://www.arweave.net/990mr1XfdT-0HYpH8BGUM6ZpzYGURrzXP7lJ_Q8JiN4?ext=png","Moatze",0.5,"5Qz948QvpyvyLuzyEJLJEwS2FURW59e42jUjfkSt6YUL",101
"MetaMorph x LifeOfDeath","By @MetaMorphAI and @LifeofDeath_NFT",20,"https://www.arweave.net/vAdgGLc3J8pSIJrrBFXA_H2o-OkJ5rsIgoPJnVwI4Ko?ext=png","MetaMorph x LifeOfDeath",0.35,"ERAWgvQ5RvQ74C93Kvp6artVWaFzndMpTvQdtDTDDoGP",677
"FLOAT","Notes from the artist ""0xDRIP is an A.I artist who creates art using neural networks + contrastive learning. The images are created using text prompts and initial images which the A.I then edits and creates it's own art pieces.""",10,"https://www.arweave.net/2sJ6wsrwTQrf9a4ZT-IAjo-fw1I-Tw3oNa12Nw9M434?ext=jpg","0xDRIP",22.5,"ekE7yJwLMwzp7VZ3e3EiCkmnL1auUWEyEnGYYJ2HrHF",872
"la petite mort","By @sainthawk12",20,"https://www.arweave.net/-jvd4Ga3aB7XKwzlluokXsUgYlWhPz0WDjF-7zUHWUY?ext=jpg","sainthawk12",5,"AUkkjm49TpwFRnzLRUY5WRPCzjGJ7HUQ5JHtsr7u3z1k",750
"Peanug x Skeleton Crew","About the artist: ""Peanug is a virtual reality artist who specializes in abstraction. His work has many mediums such as graffiti and fine arts such as oil painting."" // Part of the Skeleton Crew's 31 Days of Airdrops Collection.",420,"https://www.arweave.net/hqdTCg-wcjf1jV2WLilEEtZcBacTounBqtzg45ri5D8?ext=jpeg","Peanug",0.2,"FcFWCZ2vKNB8VLL9vEUEkbLcdVPcQ1KXHDnsuBannN8m",627
"Skeleton Crew x H37 Banner","""Just wanted to say I appreciate you all for the role you have personally played in building this beautiful community. Thank you. All of you, forever."" - H37",370,"https://www.arweave.net/-Ye0sCDZyyWU5u2B2nQmF_TVYm3hwUJivqOezKpGKbw?ext=jpg","H37",0.04,"AkBeE8sv2vqF7a6S4KdPMDZ86suDKZspqQzvznD2FyRu",495
"Nashotobi x Skeleton Crew 4/6","One of six skulls created by @Nashotobi for the Skeleton Crew's Halloween 2021 Event",50,"https://www.arweave.net/TanL0BU3hS3qyu5uGoRWNezXuqFtW1haukAS6JSstOQ?ext=jpg","Nashotobi",0.5,"B3n2xfrmZBvFcbFnKMrbjTwdUxc9A8zo87BU11Qci3Du",356
"Skull kun","By @SonGupku",100,"https://www.arweave.net/QgIn2p3a4bAV3ux85Al8GJ_k_si6rWWA9bFcy6wN79M?ext=png","SonGupku",0.25,"4EHb6r8WpbJKA8Q1xtjP9EWRYtMAVkLKmvobKv4Xo4tb",324
"SOLislands 1/2","By @islands_sol",20,"https://www.arweave.net/PJJ7lFw1W2KRin4BqA3aexixSnOBiwf38klLyWXzdzo?ext=png","islands_sol",5,"EJq7EdeMrNHKYMHr1TypZMEaEoHLtYru459MdHnGy1US",672
"Celebration","Notes from the artist: ""Hi, my name is James Johnson. This is my derivative for the Skeleton Crew 31 Days of airdrops. The style I used for this piece is cross-hatching. I hope you guys like it and Happy Halloween!""",400,"https://www.arweave.net/y41nC81RnwlXSEF0-LDBDai455bKED8ZriBXBy9Q-2w?ext=png","James Johnson",0.18,"AmiGZkJV7EpXqDjU8yeNoveJqHMu1P6qshYpfFzMipjs",8
"Mischievous Idea","Idea so bad that it must be good! For the glory of #skullana lets try that!",25,"https://www.arweave.net/4tkSUu-Hl3Amaz2_PBvyrJlzPUyjN_M0zgFtk2Wh-zI?ext=png","Fractalverse",0.29,"2gSgw9xZm6s75rUeYxYNUMGLsjLvSMEpSmNh8zPhRddW",578
"My 482nd Birthday Party","(Self-Portrait) // Skeleton Crew X Wildfire Native10",10,"https://www.arweave.net/ji4g88JlowMKT5nGjCmIyGKYpTwsOs3xqK8iuy0I-Mo?ext=png","ParamsNFT",0.27,"2M7fpeV3dFrxmR6UP1Vw5kvbQgkidGK8W73BpWeunXmk",533
"Lobster Shack x SKULLS Pink","Lobster Shack x SKULLS Pink is a part of a series of five portraits of the Lobster Shack inspired by the spirit of Halloween and Skeleton Crew. Each one of the five pieces features unique animation and lighting conditions. Created by Nephrops, the Crypto Langoustine, an independent 3D artist on Solana. Twitter: @nephr0ps.",33,"https://www.arweave.net/NLtTHS85BiXGpJCwLCWmM8TfNqOrzEzOSN0QvXUdGEk?ext=gif","Nephrops",0.5,"3WuYhp3ewjYJLV6LESiWC3caZKqVLJCbB3Gg68e7n6dn",358
"The Rising Sun","The dawn and clouds brilliantly illuminate a peak in the Southern Sierra Nevada range in this timelapse.",30,"https://www.arweave.net/WFVn82CU7ATdBFyREPP-hEt6Bmar0zKdjtYz8m7QO-w?ext=jpg","Tom Hellauer",0.49,"D5jSs7vvZZCwYP9AvZTByFdHGSgYQRx1i7pvz4ijg5sp",194
